UMAP1,UMAP2,UMAP3,Cluster
7.4546075,14.546826,3.9138043,2
8.808859,12.324293,6.06119,1
8.429578,12.838127,6.2137494,1
8.528725,12.236955,5.491406,1
5.9694405,12.219101,4.9168105,0
7.2616034,13.732441,4.596422,2
7.011353,12.532796,4.9399686,0
6.966234,13.790106,4.878715,2
7.62213,14.539033,4.241384,2
7.169145,14.59522,4.2054453,2
7.0515265,12.357051,4.304068,0
6.938068,13.243331,5.100684,0
7.6555266,13.131392,5.0015707,1
8.343869,12.47527,6.085212,1
6.368513,12.475661,5.092827,0
6.5662365,12.000778,4.387095,0
6.9276447,12.857854,4.1540384,0
7.417113,14.938197,3.9021988,2
8.1923275,13.909997,4.721406,2
5.9705443,11.440209,4.548649,0
6.549693,12.213834,3.9562056,0
8.896991,12.874062,6.243017,1
8.960802,13.096169,5.810894,1
7.7753057,13.671011,5.7133827,1
8.107012,13.148672,5.3093762,1
6.9946938,11.857635,4.813723,0
7.6906686,14.841982,4.429996,2
6.591093,13.225491,4.7769933,0
6.1406913,11.57884,5.0595818,0
7.456982,15.065254,4.3641367,2
6.8773117,11.829234,4.0811276,0
8.77959,12.443464,6.4263344,1
8.550929,13.317785,6.038541,1
5.8018093,11.807679,4.633887,0
7.5284033,13.2381935,5.8939886,1
6.472653,11.429288,4.644187,0
